gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
1,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,16.2769,native,0.0,1.86,1861.3
2,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,16.3901,native,0.0,3.69,1849.58
4,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,16.376,native,0.0,7.4,1853.44
8,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,12.2731,native,0.0,19.74,2479.09
16,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,13.0779,native,0.0,37.04,2337.88
32,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,16.6657,native,0.0,58.14,1852.4
64,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,17.9306,native,0.0,108.07,1754.85
128,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,24.6359,native,0.0,157.31,1325.44
1,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,13.4426,native,0.0,0.88,878.28
1,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,12.4118,native,0.0,1.9,1901.97
2,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,9.3048,native,0.0,2.54,1269.9
2,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,8.8827,native,0.0,5.31,2659.2
4,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,6.9596,native,0.0,6.78,1700.66
4,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,8.382,native,0.0,11.26,2821.38
8,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,6.6536,native,0.0,14.18,1784.8
8,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,8.5426,native,0.0,22.09,2774.87
16,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,7.384,native,0.0,25.56,1618.93
16,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,8.962,native,0.0,42.12,2657.46
32,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,9.325,native,0.0,40.48,1298.86
32,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,10.7555,native,0.0,70.19,2235.08
64,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,9.8618,native,0.0,76.56,1260.14
64,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,15.0531,native,0.0,100.31,1626.63
128,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,10.7655,native,0.0,140.26,1212.95
128,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,15.4286,native,0.0,195.73,1644.92
1,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,16.3191,native,0.0,1.81,1808.14
2,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,12.232,native,0.0,4.82,2413.6
4,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,12.8447,native,0.0,9.18,2300.96
8,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,12.2575,native,0.0,19.25,2416.41
16,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,11.8831,native,0.0,39.71,2503.32
32,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,13.5639,native,0.0,69.58,2211.99
64,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,15.3928,native,0.0,122.62,1982.43
128,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,17.077,native,0.0,221.05,1846.88
1,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,5.8199,native,0.0,1.26,1263.83
2,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,5.8266,native,0.0,2.52,1265.02
4,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,6.0195,native,0.0,4.88,1229.58
8,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,5.5674,native,0.0,10.55,1340.47
16,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,6.1566,native,0.0,19.08,1232.14
32,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,5.6791,native,0.0,41.36,1379.01
64,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,6.7121,native,0.0,69.99,1240.01
128,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,7.8953,native,0.0,119.0,1178.69
