gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,4,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3880,8,6.1385,flydsl_gemm5_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.02,4.78,1205.75
gfx950,256,8,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5259,8,6.405,flydsl_gemm8_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.03,9.17,1165.17
gfx950,256,16,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4480,8,6.7595,flydsl_gemm6_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0201,17.37,1122.24
gfx950,256,32,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4480,8,7.0105,flydsl_gemm6_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0214,33.5,1117.12
gfx950,256,64,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5191,7,7.7667,flydsl_gemm5_abf16_wbf16_bf16_t16x64x128_split_k7_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0268,60.48,1071.64
gfx950,256,128,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4871,7,9.6519,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k7_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.02,97.34,964.17
gfx950,256,1,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4935,8,6.5784,flydsl_gemm7_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0225,2.23,2234.05
gfx950,256,2,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4480,8,6.522,flydsl_gemm6_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0225,4.5,2255.88
gfx950,256,4,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2993,8,6.5908,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0239,8.91,2237.3
gfx950,256,8,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4480,8,6.8557,flydsl_gemm6_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0201,17.13,2160.41
gfx950,256,16,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5260,8,7.2805,flydsl_gemm8_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0208,32.26,2052.36
gfx950,256,32,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5257,7,7.7962,flydsl_gemm8_abf16_wbf16_bf16_t16x64x64_split_k7_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0197,60.26,1950.23
gfx950,256,64,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5290,7,9.6154,flydsl_gemm5_abf16_wbf16_bf16_t32x64x128_split_k7_block_m_warp2_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0269,97.71,1635.78
gfx950,256,128,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3421,4,11.1577,flydsl_gemm3_abf16_wbf16_bf16_t32x64x256_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0143,168.41,1503.64
