gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
1,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,30.757,auto,0.0,0.98,985.02
2,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,30.8593,auto,0.0,1.96,982.35
4,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,30.918,auto,0.0,3.92,981.69
8,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,30.9781,auto,0.0,7.82,982.18
16,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,24.8174,auto,0.0,19.52,1231.98
32,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,29.5379,auto,0.0,32.8,1045.15
64,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,33.2379,auto,0.0,58.3,946.67
128,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,43.3452,auto,0.0,89.41,753.33
1,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,12.2136,auto,0.0,0.97,966.65
1,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,10.2548,auto,0.0,2.3,2302.04
2,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,11.6766,auto,0.0,2.02,1011.95
2,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,9.7191,auto,0.0,4.85,2430.36
4,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,12.3314,auto,0.0,3.83,959.82
4,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,10.3279,auto,0.0,9.14,2289.79
8,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,12.3255,auto,0.0,7.66,963.48
8,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,11.967,auto,0.0,15.77,1980.83
16,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,9.2647,auto,0.0,20.37,1290.29
16,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,12.6368,auto,0.0,29.87,1884.67
32,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,10.399,auto,0.0,36.3,1164.72
32,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,12.9187,auto,0.0,58.44,1860.82
64,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,11.3505,auto,0.0,66.51,1094.86
64,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,17.2626,auto,0.0,87.47,1418.44
128,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,14.9167,auto,0.0,101.23,875.4
128,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,17.6517,auto,0.0,171.08,1437.75
1,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,11.0945,auto,0.0,2.66,2659.62
2,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,10.6361,auto,0.0,5.55,2775.75
4,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,11.2523,auto,0.0,10.48,2626.59
8,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,11.3818,auto,0.0,20.73,2602.33
16,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,12.9444,auto,0.0,36.45,2298.07
32,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,12.3665,auto,0.0,76.31,2426.17
64,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,19.5037,auto,0.0,96.77,1564.59
128,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,20.8668,auto,0.0,180.9,1511.45
1,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,5.0023,auto,0.0,1.47,1470.4
2,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,5.0896,auto,0.0,2.88,1448.2
4,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,5.1631,auto,0.0,5.69,1433.53
8,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,5.2671,auto,0.0,11.15,1416.89
16,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,4.8995,auto,0.0,23.97,1548.28
32,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,4.6379,auto,0.0,50.64,1688.6
64,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,5.4275,auto,0.0,86.55,1533.5
128,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,6.4451,auto,0.0,145.77,1443.9
