M,N,K,bias,dtype,outdtype,scaleAB
504,384,7168,False,torch.bfloat16,torch.bfloat16,False
512,384,7168,False,torch.bfloat16,torch.bfloat16,False
1,1024,7168,False,torch.bfloat16,torch.bfloat16,False
2,1024,7168,False,torch.bfloat16,torch.bfloat16,False
4,1024,7168,False,torch.bfloat16,torch.bfloat16,False
8,1024,7168,False,torch.bfloat16,torch.bfloat16,False
16,1024,7168,False,torch.bfloat16,torch.bfloat16,False
24,1024,7168,False,torch.bfloat16,torch.bfloat16,False
32,1024,7168,False,torch.bfloat16,torch.bfloat16,False
40,1024,7168,False,torch.bfloat16,torch.bfloat16,False
48,1024,7168,False,torch.bfloat16,torch.bfloat16,False
56,1024,7168,False,torch.bfloat16,torch.bfloat16,False
64,1024,7168,False,torch.bfloat16,torch.bfloat16,False
72,1024,7168,False,torch.bfloat16,torch.bfloat16,False
80,1024,7168,False,torch.bfloat16,torch.bfloat16,False
88,1024,7168,False,torch.bfloat16,torch.bfloat16,False
96,1024,7168,False,torch.bfloat16,torch.bfloat16,False
104,1024,7168,False,torch.bfloat16,torch.bfloat16,False
112,1024,7168,False,torch.bfloat16,torch.bfloat16,False
120,1024,7168,False,torch.bfloat16,torch.bfloat16,False
128,1024,7168,False,torch.bfloat16,torch.bfloat16,False
136,1024,7168,False,torch.bfloat16,torch.bfloat16,False
144,1024,7168,False,torch.bfloat16,torch.bfloat16,False
152,1024,7168,False,torch.bfloat16,torch.bfloat16,False
160,1024,7168,False,torch.bfloat16,torch.bfloat16,False
168,1024,7168,False,torch.bfloat16,torch.bfloat16,False
176,1024,7168,False,torch.bfloat16,torch.bfloat16,False
184,1024,7168,False,torch.bfloat16,torch.bfloat16,False
192,1024,7168,False,torch.bfloat16,torch.bfloat16,False
200,1024,7168,False,torch.bfloat16,torch.bfloat16,False
208,1024,7168,False,torch.bfloat16,torch.bfloat16,False
216,1024,7168,False,torch.bfloat16,torch.bfloat16,False
224,1024,7168,False,torch.bfloat16,torch.bfloat16,False
232,1024,7168,False,torch.bfloat16,torch.bfloat16,False
240,1024,7168,False,torch.bfloat16,torch.bfloat16,False
248,1024,7168,False,torch.bfloat16,torch.bfloat16,False
256,1024,7168,False,torch.bfloat16,torch.bfloat16,False
264,1024,7168,False,torch.bfloat16,torch.bfloat16,False
272,1024,7168,False,torch.bfloat16,torch.bfloat16,False
280,1024,7168,False,torch.bfloat16,torch.bfloat16,False
288,1024,7168,False,torch.bfloat16,torch.bfloat16,False
296,1024,7168,False,torch.bfloat16,torch.bfloat16,False
304,1024,7168,False,torch.bfloat16,torch.bfloat16,False
312,1024,7168,False,torch.bfloat16,torch.bfloat16,False
320,1024,7168,False,torch.bfloat16,torch.bfloat16,False
328,1024,7168,False,torch.bfloat16,torch.bfloat16,False
336,1024,7168,False,torch.bfloat16,torch.bfloat16,False
344,1024,7168,False,torch.bfloat16,torch.bfloat16,False
352,1024,7168,False,torch.bfloat16,torch.bfloat16,False
360,1024,7168,False,torch.bfloat16,torch.bfloat16,False
368,1024,7168,False,torch.bfloat16,torch.bfloat16,False
376,1024,7168,False,torch.bfloat16,torch.bfloat16,False
384,1024,7168,False,torch.bfloat16,torch.bfloat16,False
392,1024,7168,False,torch.bfloat16,torch.bfloat16,False
400,1024,7168,False,torch.bfloat16,torch.bfloat16,False
408,1024,7168,False,torch.bfloat16,torch.bfloat16,False
416,1024,7168,False,torch.bfloat16,torch.bfloat16,False
424,1024,7168,False,torch.bfloat16,torch.bfloat16,False
432,1024,7168,False,torch.bfloat16,torch.bfloat16,False
440,1024,7168,False,torch.bfloat16,torch.bfloat16,False
448,1024,7168,False,torch.bfloat16,torch.bfloat16,False
456,1024,7168,False,torch.bfloat16,torch.bfloat16,False
464,1024,7168,False,torch.bfloat16,torch.bfloat16,False
472,1024,7168,False,torch.bfloat16,torch.bfloat16,False
480,1024,7168,False,torch.bfloat16,torch.bfloat16,False
488,1024,7168,False,torch.bfloat16,torch.bfloat16,False
496,1024,7168,False,torch.bfloat16,torch.bfloat16,False
504,1024,7168,False,torch.bfloat16,torch.bfloat16,False
512,1024,7168,False,torch.bfloat16,torch.bfloat16,False
1,7168,512,False,torch.bfloat16,torch.bfloat16,False
2,7168,512,False,torch.bfloat16,torch.bfloat16,False
4,7168,512,False,torch.bfloat16,torch.bfloat16,False
8,7168,512,False,torch.bfloat16,torch.bfloat16,False
16,7168,512,False,torch.bfloat16,torch.bfloat16,False
24,7168,512,False,torch.bfloat16,torch.bfloat16,False
32,7168,512,False,torch.bfloat16,torch.bfloat16,False
40,7168,512,False,torch.bfloat16,torch.bfloat16,False
48,7168,512,False,torch.bfloat16,torch.bfloat16,False
56,7168,512,False,torch.bfloat16,torch.bfloat16,False
64,7168,512,False,torch.bfloat16,torch.bfloat16,False
72,7168,512,False,torch.bfloat16,torch.bfloat16,False
80,7168,512,False,torch.bfloat16,torch.bfloat16,False
88,7168,512,False,torch.bfloat16,torch.bfloat16,False
96,7168,512,False,torch.bfloat16,torch.bfloat16,False
104,7168,512,False,torch.bfloat16,torch.bfloat16,False
112,7168,512,False,torch.bfloat16,torch.bfloat16,False
120,7168,512,False,torch.bfloat16,torch.bfloat16,False
128,7168,512,False,torch.bfloat16,torch.bfloat16,False
136,7168,512,False,torch.bfloat16,torch.bfloat16,False
144,7168,512,False,torch.bfloat16,torch.bfloat16,False
152,7168,512,False,torch.bfloat16,torch.bfloat16,False
160,7168,512,False,torch.bfloat16,torch.bfloat16,False
168,7168,512,False,torch.bfloat16,torch.bfloat16,False
176,7168,512,False,torch.bfloat16,torch.bfloat16,False
184,7168,512,False,torch.bfloat16,torch.bfloat16,False
192,7168,512,False,torch.bfloat16,torch.bfloat16,False
200,7168,512,False,torch.bfloat16,torch.bfloat16,False
208,7168,512,False,torch.bfloat16,torch.bfloat16,False
216,7168,512,False,torch.bfloat16,torch.bfloat16,False
224,7168,512,False,torch.bfloat16,torch.bfloat16,False
232,7168,512,False,torch.bfloat16,torch.bfloat16,False
240,7168,512,False,torch.bfloat16,torch.bfloat16,False
248,7168,512,False,torch.bfloat16,torch.bfloat16,False
256,7168,512,False,torch.bfloat16,torch.bfloat16,False
264,7168,512,False,torch.bfloat16,torch.bfloat16,False
272,7168,512,False,torch.bfloat16,torch.bfloat16,False
280,7168,512,False,torch.bfloat16,torch.bfloat16,False
288,7168,512,False,torch.bfloat16,torch.bfloat16,False
296,7168,512,False,torch.bfloat16,torch.bfloat16,False
304,7168,512,False,torch.bfloat16,torch.bfloat16,False
312,7168,512,False,torch.bfloat16,torch.bfloat16,False
320,7168,512,False,torch.bfloat16,torch.bfloat16,False
328,7168,512,False,torch.bfloat16,torch.bfloat16,False
336,7168,512,False,torch.bfloat16,torch.bfloat16,False
344,7168,512,False,torch.bfloat16,torch.bfloat16,False
352,7168,512,False,torch.bfloat16,torch.bfloat16,False
360,7168,512,False,torch.bfloat16,torch.bfloat16,False
368,7168,512,False,torch.bfloat16,torch.bfloat16,False
376,7168,512,False,torch.bfloat16,torch.bfloat16,False
384,7168,512,False,torch.bfloat16,torch.bfloat16,False
392,7168,512,False,torch.bfloat16,torch.bfloat16,False
400,7168,512,False,torch.bfloat16,torch.bfloat16,False
408,7168,512,False,torch.bfloat16,torch.bfloat16,False
416,7168,512,False,torch.bfloat16,torch.bfloat16,False
424,7168,512,False,torch.bfloat16,torch.bfloat16,False
432,7168,512,False,torch.bfloat16,torch.bfloat16,False
440,7168,512,False,torch.bfloat16,torch.bfloat16,False
448,7168,512,False,torch.bfloat16,torch.bfloat16,False
456,7168,512,False,torch.bfloat16,torch.bfloat16,False
464,7168,512,False,torch.bfloat16,torch.bfloat16,False
472,7168,512,False,torch.bfloat16,torch.bfloat16,False
480,7168,512,False,torch.bfloat16,torch.bfloat16,False
488,7168,512,False,torch.bfloat16,torch.bfloat16,False
496,7168,512,False,torch.bfloat16,torch.bfloat16,False
504,7168,512,False,torch.bfloat16,torch.bfloat16,False
512,7168,512,False,torch.bfloat16,torch.bfloat16,False
